"GeneA","GeneB"
"FUCA2","HSPA5"
"FUCA2","WNT11"
"FUCA2","NAT14"
"FUCA2","HSCB"
"FUCA2","HOXA1"
"FUCA2","MEOX2"
"FUCA2","FBXO6"
"FUCA2","PIN1"
"FUCA2","CLDN12"
"FUCA2","UQCRH"
"FUCA2","FUCA1"
"GCLC","CCL22"
"GCLC","MYC"
"GCLC","F2"
"NFYA","SERPINB1"
"NFYA","ME1"
"NFYA","PKM"
"NFYA","TP63"
"NFYA","USF2"
"NFYA","SUB1"
"NFYA","KAT2B"
"NFYA","HDAC1"
"NFYA","UAP1"
"NFYA","TAF12"
"NFYA","ELF1"
"NFYA","CDK2"
"NFYA","TES"
"NFYA","VEZF1"
"NFYA","HMGA1"
"NFYA","APP"
"NFYA","POGZ"
"NFYA","CCNA2"
"NFYA","EIF4EBP2"
"NFYA","USF1"
"NFYA","CDC25A"
"NFYA","GTF2A1"
"NFYA","JUN"
"NFYA","ZHX2"
"NFYA","IKZF1"
"NFYA","SREBF2"
"ENPP4","LGALS3"
"ENPP4","LPAR1"
"SEMA3F","NRP1"
"SEMA3F","VEGFA"
"SEMA3F","NRP2"
"SEMA3F","UBA1"
"SEMA3F","SLC35G2"
"CFTR","PSMC4"
"CFTR","VIM"
"CFTR","GRN"
"CFTR","SLC4A7"
"CFTR","CDH1"
"CFTR","HSPA5"
"CFTR","GOPC"
"CFTR","LIMA1"
"CFTR","SEC61A1"
"CFTR","TNPO3"
"CFTR","LPAR2"
"CFTR","IPO5"
"CFTR","CLTCL1"
"CFTR","ACTB"
"CFTR","FAT1"
"CFTR","CD59"
"CFTR","GNA11"
"CFTR","SNAP23"
"CFTR","EZR"
"CFTR","MARCH2"
"CFTR","SERPIND1"
"CFTR","MYH9"
"CFTR","EMD"
"CFTR","TJP1"
"CFTR","EMC2"
"CFTR","PPP2CB"
"CFTR","KCNN4"
"CFTR","BAG1"
"CFTR","ERLIN1"
"CFTR","SFXN3"
"CFTR","WSB1"
"CFTR","SLC9A3R1"
"CFTR","WFS1"
"CFTR","BAG2"
"CFTR","GNAI2"
"CFTR","SNX4"
"CFTR","EPCAM"
"CFTR","HSPH1"
"CFTR","P4HA1"
"CFTR","SEPT6"
"CFTR","CAPNS1"
"CFTR","HSPA2"
"CFTR","CALU"
"CFTR","SNX9"
"CFTR","ANO1"
"CFTR","LGALS3"
"CFTR","DNAJB1"
"CFTR","LMO7"
"CFTR","DERL1"
"CFTR","SORL1"
"CFTR","KIF11"
"CFTR","TMOD3"
"CFTR","SEPT11"
"CFTR","RNF185"
"CFTR","ESYT1"
"CFTR","DTL"
"CFTR","S100A7"
"CFTR","HAX1"
"CFTR","CEP170"
"CFTR","PLEKHA6"
"CFTR","SIGMAR1"
"CFTR","AKAP6"
"CFTR","EPS8"
"CFTR","PRKCA"
"CFTR","TIAM1"
"CFTR","PPP2R2B"
"CFTR","AIFM1"
"CFTR","APOA2"
"CFTR","CSTB"
"CFTR","LMNA"
"CFTR","SQSTM1"
"CFTR","JAK1"
"CFTR","S100A9"
"CFTR","RYK"
"CFTR","CCDC51"
"CFTR","KIF5C"
"CFTR","IL1RAPL1"
"CFTR","KRT8"
"CFTR","KIF5B"
"CFTR","TMEM43"
"CFTR","PRKCE"
"CFTR","LGALS4"
"CFTR","CFL1"
"CFTR","COMMD1"
"CFTR","MUC13"
"CFTR","EXO1"
"CFTR","MARCKSL1"
"CFTR","NRIP3"
"CFTR","A2M"
"CFTR","FARSA"
"CFTR","HCLS1"
"CFTR","MED12"
"CFTR","KRT10"
"CFTR","MYO6"
"CFTR","SVIL"
"CFTR","PSAP"
"CFTR","ATAD3A"
"CFTR","SH3BGRL2"
"CFTR","MUC2"
"CFTR","UBE2J1"
"CFTR","RYR3"
"CFTR","C6orf48"
"CFTR","HSPA1B"
"CFTR","HSPA1A"
"CFTR","IPO7"
"CFTR","PPP2R2A"
"CFTR","B3GNT9"
"CFTR","PDCD6"
"CFTR","PRKDC"
"BAD","RPS6KA2"
"BAD","ACTN2"
"BAD","KEAP1"
"BAD","BAX"
"BAD","CBY1"
"BAD","RPS6KA5"
"BAD","PIM2"
"BAD","BNIP3L"
"BAD","WASF1"
"BAD","RPS6KA1"
"BAD","SORT1"
"BAD","HRK"
"BAD","SYNCRIP"
"BAD","PIM1"
"BAD","TMBIM6"
"BAD","BCL2A1"
"BAD","MCL1"
"BAD","SNCA"
"BAD","PAK1"
"BAD","SORBS2"
"BAD","BRAF"
"BAD","PRKCI"
"BAD","PRDX2"
"BAD","PRKCE"
"BAD","BCL2L1"
"BAD","BCL2"
"BAD","SFN"
"BAD","RPS6KA3"
"BAD","GRB2"
"BAD","GIMAP5"
"BAD","S100A10"
"BAD","PIM3"
"LAP3","CBX5"
"LAP3","SH3GLB1"
"LAP3","RAPGEF2"
"LAP3","PRDX1"
"LAP3","APP"
"LAP3","ZYX"
"LAP3","TKT"
"LAP3","PRDX2"
"LAP3","JUN"
"LAP3","GCNT1"
"LAP3","ISG15"
"LAP3","NTRK1"
"LAP3","MIF"
"CD99","TRIP13"
"CD99","FTH1"
"CD99","ANXA2"
"CD99","UBE2H"
"CD99","TMEM17"
"CD99","TMEM216"
"CD99","PPIA"
"HS3ST1","APP"
"AOC1","POGZ"
"AOC1","WDYHV1"
"AOC1","RBPMS2"
"MAD1L1","ALOX5"
"MAD1L1","VIM"
"MAD1L1","TPR"
"MAD1L1","LMO3"
"MAD1L1","TRIP13"
"MAD1L1","LNX1"
"MAD1L1","NEBL"
"MAD1L1","NDC80"
"MAD1L1","NINL"
"MAD1L1","SYT17"
"MAD1L1","CLEC11A"
"MAD1L1","AMOTL2"
"MAD1L1","HDAC1"
"MAD1L1","CDC20"
"MAD1L1","NEK2"
"MAD1L1","LGALSL"
"MAD1L1","TSHZ3"
"MAD1L1","RBCK1"
"MAD1L1","TRIM29"
"MAD1L1","CENPE"
"MAD1L1","TPM1"
"MAD1L1","PPP1R18"
"MAD1L1","SIGMAR1"
"MAD1L1","HAUS1"
"MAD1L1","WDYHV1"
"MAD1L1","TSC22D3"
"MAD1L1","VPS28"
"MAD1L1","IKZF3"
"MAD1L1","MAD2L1"
"MAD1L1","ZADH2"
"MAD1L1","FAM131C"
"MAD1L1","C6orf141"
"MAD1L1","NTRK1"
"MAD1L1","CCHCR1"
"TMEM176A","HIVEP1"
"TMEM176A","TMEM176B"
"TMEM176A","TGM2"
"M6PR","AP1M1"
"M6PR","GGA2"
"M6PR","PLIN3"
"M6PR","FBXO6"
"M6PR","DUSP9"
"M6PR","MYC"
"M6PR","RANBP2"
"M6PR","OLR1"
"M6PR","JUN"
"M6PR","HPDL"
"M6PR","RPS28"
"M6PR","N4BP2L2"
"KLHL13","USP11"
"KLHL13","COPS7A"
"KLHL13","TRIM29"
"KLHL13","KIFC3"
"KLHL13","PRPS1"
"KLHL13","MAD2L1"
"KLHL13","KLHL9"
"ICA1","CCDC28A"
"ICA1","NFKB1"
"ICA1","MKKS"
"ICA1","MYC"
"ICA1","LRRK2"
"CFLAR","FAS"
"CFLAR","TRAF1"
"CFLAR","CASP8"
"CFLAR","MAP2K4"
"CFLAR","FSCN1"
"CFLAR","ITCH"
"CFLAR","ACOT7"
"CFLAR","SUN2"
"CFLAR","RIPK2"
"CFLAR","TNFRSF10A"
"CFLAR","NSUN5P2"
"CFLAR","CASP2"
"CFLAR","RIC1"
"CFLAR","NFKB1"
"CFLAR","TNFRSF10B"
"CFLAR","TNFSF10"
"CFLAR","TICAM1"
"CFLAR","TRAF3"
"CFLAR","DHX9"
"CFLAR","USP20"
"CFLAR","MYC"
"CFLAR","IRF4"
"CFLAR","LRPPRC"
"CFLAR","CASP6"
"CFLAR","TMF1"
"CFLAR","GSN"
"CFLAR","HNRNPU"
"CFLAR","ATAD2"
"CFLAR","RADIL"
"CFLAR","HIST1H4H"
"CFLAR","DNASE1L3"
"CFLAR","CASP3"
"CFLAR","CASP7"
"CFLAR","NOLC1"
"CFLAR","SMAD3"
"CFLAR","FADD"
"CFLAR","NLGN1"
"CFLAR","BCL2L1"
"CFLAR","NPM1"
"CFLAR","RALYL"
"CFLAR","NAP1L1"
"CFLAR","HIST1H4C"
"CFLAR","CD247"
"CFLAR","MIF"
"CFLAR","PRKDC"
"TFPI","PRSS3"
"TFPI","MMP9"
"TFPI","BCAS2"
"TFPI","F3"
"TFPI","F10"
"TFPI","MMP7"
"TFPI","THBS1"
"TFPI","APP"
"TFPI","SAP18"
"TFPI","MMP1"
"TFPI","ELANE"
"RBM5","ARFGEF1"
"RBM5","EMC2"
"RBM5","PRPF19"
"RBM5","WDR77"
"RBM5","PHF19"
"RBM5","LRIF1"
"RBM5","LSM8"
"RBM5","U2SURP"
"RBM5","ZRSR2"
"RBM5","BCL2L1"
"RBM5","SUZ12"
"RBM5","MYO1C"
"RBM5","FGFR1OP"
"RBM5","WDR46"
"SLC7A2","CD83"
"SLC7A2","ATP6V0E1"
"SLC7A2","LGALS3"
"SLC7A2","NT5E"
"SLC7A2","TSPAN5"
"SLC7A2","DLK2"
"SLC7A2","C3AR1"
"SLC7A2","TMEM17"
"PLXND1","NR4A1"
"PLXND1","MACF1"
"PLXND1","SEMA4A"
"CD38","CD9"
"CD38","LCK"
"CD38","HLA-DRB1"
"CD38","HLA-DRA"
"FKBP4","MCM2"
"FKBP4","HSP90AA1"
"FKBP4","UBA5"
"FKBP4","FKBP1A"
"FKBP4","IMPDH1"
"FKBP4","PRKAG2"
"FKBP4","CDC37L1"
"FKBP4","PHYH"
"FKBP4","SMURF2"
"FKBP4","CHORDC1"
"FKBP4","PRKAB1"
"FKBP4","MCM3"
"FKBP4","NR3C1"
"FKBP4","ACVR1"
"FKBP4","FOXO3"
"FKBP4","PLS1"
"FKBP4","CDK2"
"FKBP4","ATG101"
"FKBP4","STIL"
"FKBP4","AGO2"
"FKBP4","MGME1"
"FKBP4","SH3BP4"
"FKBP4","NPHP4"
"FKBP4","CDC73"
"FKBP4","EGLN1"
"FKBP4","IRF4"
"FKBP4","NPHP1"
"FKBP4","EGFR"
"FKBP4","NEK8"
"FKBP4","S100A1"
"FKBP4","SQSTM1"
"FKBP4","VCAM1"
"FKBP4","IFI16"
"FKBP4","POC1A"
"FKBP4","GLMN"
"FKBP4","PTPN2"
"FKBP4","ATOX1"
"FKBP4","JUN"
"FKBP4","FES"
"FKBP4","MAPT"
"FKBP4","SIRT7"
"FKBP4","S100A2"
"FKBP4","S100A6"
"FKBP4","NTRK1"
"KDM1A","MYLIP"
"KDM1A","FYN"
"KDM1A","ISL1"
"KDM1A","NR1H3"
"KDM1A","CENPQ"
"KDM1A","PNKP"
"KDM1A","HOMER3"
"KDM1A","MTA3"
"KDM1A","BCAT1"
"KDM1A","HMG20B"
"KDM1A","GOLGA5"
"KDM1A","RASSF1"
"KDM1A","IFI35"
"KDM1A","KIF2A"
"KDM1A","TCF3"
"KDM1A","ARHGAP15"
"KDM1A","TRAF4"
"KDM1A","CBX5"
"KDM1A","TFIP11"
"KDM1A","MTHFD1"
"KDM1A","RASSF2"
"KDM1A","PLCB4"
"KDM1A","DNTTIP1"
"KDM1A","RBBP7"
"KDM1A","OIP5"
"KDM1A","KLHDC4"
"KDM1A","LYL1"
"KDM1A","HOXA1"
"KDM1A","EZH2"
"KDM1A","GATA3"
"KDM1A","CBX1"
"KDM1A","TNFAIP1"
"KDM1A","KLF3"
"KDM1A","BIRC2"
"KDM1A","CHD4"
"KDM1A","E2F3"
"KDM1A","PEX7"
"KDM1A","TTC33"
"KDM1A","CRBN"
"KDM1A","CEP70"
"KDM1A","ID2"
"KDM1A","ATP6V1B1"
"KDM1A","NFE2L2"
"KDM1A","HDAC1"
"KDM1A","SFPQ"
"KDM1A","SSX2IP"
"KDM1A","PRDX1"
"KDM1A","PHF19"
"KDM1A","SMAD9"
"KDM1A","ZMYM2"
"KDM1A","NMI"
"KDM1A","SNAI1"
"KDM1A","SEPT6"
"KDM1A","ZNF436"
"KDM1A","BCL11B"
"KDM1A","YEATS4"
"KDM1A","SERGEF"
"KDM1A","CBFA2T3"
"KDM1A","GSE1"
"KDM1A","NR1H2"
"KDM1A","FIGNL1"
"KDM1A","H3F3B"
"KDM1A","ANKEF1"
"KDM1A","ARNTL"
"KDM1A","PHC2"
"KDM1A","MTO1"
"KDM1A","KRT7"
"KDM1A","STX11"
"KDM1A","DHX9"
"KDM1A","SPRY2"
"KDM1A","SMC2"
"KDM1A","MYC"
"KDM1A","CCDC90B"
"KDM1A","ARHGAP29"
"KDM1A","LOXL4"
"KDM1A","MNS1"
"KDM1A","RB1"
"KDM1A","VPS37B"
"KDM1A","FBLN5"
"KDM1A","TCF12"
"KDM1A","KIFC3"
"KDM1A","RPRD1A"
"KDM1A","IGFBP4"
"KDM1A","ITGB3BP"
"KDM1A","MTF2"
"KDM1A","TUFT1"
"KDM1A","SETDB1"
"KDM1A","SSBP2"
"KDM1A","PRIM2"
"KDM1A","CDCA5"
"KDM1A","TACC1"
"KDM1A","TERF1"
"KDM1A","HAUS6"
"KDM1A","NRBF2"
"KDM1A","TDO2"
"KDM1A","RABGAP1L"
"KDM1A","CCDC74B"
"KDM1A","HAUS1"
"KDM1A","CHD1"
"KDM1A","VPS37A"
"KDM1A","BATF"
"KDM1A","SSBP3"
"KDM1A","RUNX1"
"KDM1A","VPS11"
"KDM1A","TAL1"
"KDM1A","CCDC74A"
"KDM1A","NOSTRIN"
"KDM1A","TSACC"
"KDM1A","SFMBT1"
"KDM1A","C8orf48"
"KDM1A","IKBIP"
"KDM1A","PRKCB"
"KDM1A","C18orf54"
"KDM1A","GOLGA2"
"KDM1A","LENG8"
"KDM1A","RCOR2"
"KDM1A","RBPJ"
"KDM1A","STAT3"
"KDM1A","ZNF280A"
"KDM1A","CHD3"
"KDM1A","FAM161A"
"KDM1A","SPATA24"
"KDM1A","SOCS6"
"KDM1A","CDCA4"
"KDM1A","KRT19"
"KDM1A","KRT15"
"KDM1A","ZNF581"
"KDM1A","MALT1"
"KDM1A","CCDC14"
"KDM1A","CRLF3"
"KDM1A","NR2C2"
"KDM1A","TBL1XR1"
"KDM1A","JUN"
"KDM1A","PDE4DIP"
"KDM1A","GCC1"
"KDM1A","EXOC7"
"KDM1A","MTA1"
"KDM1A","COPB2"
"KDM1A","KRT6B"
"KDM1A","HIST1H3D"
"KDM1A","ZNF71"
"KDM1A","ECI2"
"KDM1A","DZIP3"
"KDM1A","EHMT2"
"KDM1A","KRT40"
"KDM1A","KRT6A"
"KDM1A","AP1G2"
"RECQL","FOXC1"
"RECQL","TEAD2"
"RECQL","E2F1"
"RECQL","GOLT1B"
"RECQL","FOXA1"
"RECQL","SYNCRIP"
"RECQL","MYC"
"RECQL","PARP1"
"RECQL","FOXO1"
"RECQL","RBPJ"
"RECQL","JUN"
"RECQL","FOXE1"
"PDK4","PDK3"
"PDK4","PPARGC1A"
"PDK4","NARS2"
"PDK4","TRIM63"
"SLC22A16","APBA3"
"SLC22A16","TSPAN15"
"SLC22A16","FNDC3A"
"SLC22A16","SYNGR2"
"SLC22A16","LPCAT3"
"SLC22A16","TMEM56"
"SLC22A16","GBP5"
"SLC22A16","SLC26A2"
"SLC22A16","CHCHD6"
"SLC22A16","FLVCR1"
"SLC22A16","SLC25A46"
"SLC22A16","AGPAT2"
"SLC22A16","GJC1"
"SLC22A16","ATL3"
"SLC22A16","LYN"
"ARX","GTSE1"
"ARX","APOB"
"ARX","CD99L2"
"ARX","CLTB"
"ARX","STK39"
"SLC25A13","CROT"
"SLC25A13","JARID2"
"SLC25A13","PRSS3"
"SLC25A13","RNH1"
"SLC25A13","AGA"
"SLC25A13","CRMP1"
"SLC25A13","AP1M1"
"SLC25A13","MCM2"
"SLC25A13","FBLN1"
"SLC25A13","ITGB5"
"SLC25A13","EPS15"
"SLC25A13","PPEF1"
"SLC25A13","CDC45"
"SLC25A13","GRAP2"
"SLC25A13","IFT27"
"SLC25A13","DICER1"
"SLC25A13","CST3"
"SLC25A13","MAP1LC3A"
"SLC25A13","TSC22D1"
"SLC25A13","IGDCC4"
"SLC25A13","RNASEH2A"
"SLC25A13","SLC1A5"
"SLC25A13","BBC3"
"SLC25A13","DNM1"
"SLC25A13","SETX"
"SLC25A13","NFKB1"
"SLC25A13","NEIL3"
"SLC25A13","APOC3"
"SLC25A13","FN1"
"SLC25A13","FBXO6"
"SLC25A13","RLF"
"SLC25A13","APOA1"
"SLC25A13","TTR"
"SLC25A13","LRIF1"
"SLC25A13","AGO2"
"SLC25A13","OBSL1"
"SLC25A13","TTPAL"
"SLC25A13","NCOA3"
"SLC25A13","PAICS"
"SLC25A13","APOE"
"SLC25A13","APOC1"
"SLC25A13","SH3BP5"
"SLC25A13","SCO1"
"SLC25A13","MED10"
"SLC25A13","AMPD3"
"SLC25A13","KIDINS220"
"SLC25A13","CABLES1"
"SLC25A13","CTSL"
"SLC25A13","DERL1"
"SLC25A13","MYC"
"SLC25A13","CLCA2"
"SLC25A13","MAP1LC3B"
"SLC25A13","SETDB1"
"SLC25A13","AHSG"
"SLC25A13","GSN"
"SLC25A13","SERPING1"
"SLC25A13","ATM"
"SLC25A13","SACS"
"SLC25A13","RANBP2"
"SLC25A13","KCNMA1"
"SLC25A13","TIAM1"
"SLC25A13","PCDH1"
"SLC25A13","APOA2"
"SLC25A13","ALB"
"SLC25A13","PPBP"
"SLC25A13","CDCP1"
"SLC25A13","ITGA2"
"SLC25A13","ILK"
"SLC25A13","CRK"
"SLC25A13","KRT1"
"SLC25A13","ZNF232"
"SLC25A13","FADD"
"SLC25A13","KRT13"
"SLC25A13","FGA"
"SLC25A13","TLN2"
"SLC25A13","ADGRG2"
"SLC25A13","KIAA1551"
"SLC25A13","CCDC85B"
"SLC25A13","JUN"
"SLC25A13","GRB2"
"SLC25A13","PCED1B"
"SLC25A13","F2"
"SLC25A13","AATK"
"SLC25A13","LIMK2"
"SLC25A13","RIPK4"
"SLC25A13","IRAK1"
"SLC25A13","PDE4B"
"SLC25A13","KRT6B"
"SLC25A13","KRT5"
"SLC25A13","KRT10"
"SLC25A13","KRT14"
"SLC25A13","ZNF292"
"SLC25A13","CFD"
"SLC25A13","MYL4"
"SLC25A13","KRT6A"
"SLC25A13","PLEKHM1"
"ST7","PTGER3"
"ST7","MCOLN3"
"ST7","NFKBIA"
"ST7","RNF19B"
"ST7","CXCL6"
"ST7","C3AR1"
"ST7","CHRNA9"
"ST7","B4GAT1"
"ST7","LRRN1"
"ST7","HLA-DQA1"
"HCCS","PHF23"
"HCCS","TMEM206"
"HCCS","COMT"
"HCCS","ARMCX3"
"HCCS","PLIN3"
"HCCS","MYCL"
"HCCS","ARL8B"
"HCCS","ESYT1"
"HCCS","CRTC3"
"HCCS","RMND5B"
"HCCS","NSDHL"
"HCCS","NPAT"
"HCCS","TADA1"
"HCCS","SENP2"
"HCCS","MID1IP1"
"HCCS","C15orf48"
"HCCS","GBA"
"SKAP2","FYN"
"SKAP2","ABHD5"
"SKAP2","HCK"
"SKAP2","DNAJB6"
"SKAP2","PRAM1"
"SKAP2","PTPN22"
"SKAP2","RGS3"
"SKAP2","SKAP1"
"SKAP2","APP"
"SKAP2","GRB2"
"SKAP2","SRC"
"SKAP2","LYN"
"HOXA11","EZH2"
"HOXA11","GMNN"
"HOXA11","HDAC1"
"HOXA11","MEIS1"
"HOXA11","FOXO1"
"THSD7A","SKIL"
"THSD7A","ASAP2"
"THSD7A","RAD21"
"RPAP3","PHKA2"
"RPAP3","POLR3E"
"RPAP3","PRKCZ"
"RPAP3","NEDD4"
"RPAP3","ITCH"
"RPAP3","HSP90AA1"
"RPAP3","CAD"
"RPAP3","PHGDH"
"RPAP3","PARD6A"
"RPAP3","PIH1D1"
"RPAP3","URI1"
"RPAP3","RAPGEF2"
"RPAP3","STIL"
"RPAP3","PARD6B"
"RPAP3","TTI2"
"RPAP3","LRCH2"
"RPAP3","DIAPH1"
"RPAP3","NPHP4"
"RPAP3","DHX30"
"RPAP3","APP"
"RPAP3","PFDN2"
"RPAP3","NPHP1"
"RPAP3","PRPS1"
"RPAP3","FBXO25"
"RPAP3","TERF1"
"RPAP3","HNRNPU"
"RPAP3","NEK8"
"RPAP3","PRKCI"
"RPAP3","POC1A"
"RPAP3","AMOTL1"
"RPAP3","SMARCC1"
"RPAP3","RUVBL1"
"RPAP3","RIPK4"
"RPAP3","LRRK2"
"RPAP3","NTRK1"
"RPAP3","PFDN6"
"ACSM3","VCAM1"
"FAM214B","AKAP8L"
"FAM214B","TRAF4"
"FAM214B","MID2"
"FAM214B","KPNA3"
"FAM214B","AES"
"FAM214B","LZTS2"
"FAM214B","MDFI"
"FAM214B","KIF20A"
"FAM214B","CEP70"
"FAM214B","FHL2"
"FAM214B","KRT34"
"FAM214B","LMO2"
"FAM214B","CALCOCO2"
"FAM214B","APP"
"FAM214B","MYO1F"
"FAM214B","HSPB8"
"FAM214B","HSF2BP"
"FAM214B","SFMBT1"
"FAM214B","GOLGA2"
"FAM214B","MYO5B"
"FAM214B","CCDC85B"
"FAM214B","IKZF1"
"FAM214B","BHLHB9"
"COPZ2","COPG2"
"COPZ2","COPG1"
"COPZ2","COPB2"
"PRKAR2B","CEP68"
"PRKAR2B","AKAP11"
"PRKAR2B","SPA17"
"PRKAR2B","ROPN1"
"PRKAR2B","TNFRSF1A"
"PRKAR2B","PCM1"
"PRKAR2B","CRYBG3"
"PRKAR2B","NUFIP1"
"PRKAR2B","MIB1"
"PRKAR2B","HBP1"
"PRKAR2B","PRKAR1A"
"PRKAR2B","COPS7A"
"PRKAR2B","CCDC77"
"PRKAR2B","TAF12"
"PRKAR2B","AKAP1"
"PRKAR2B","CDK5RAP2"
"PRKAR2B","USO1"
"PRKAR2B","CEP131"
"PRKAR2B","PRKACB"
"PRKAR2B","HAX1"
"PRKAR2B","CEP170"
"PRKAR2B","SURF4"
"PRKAR2B","ZG16B"
"PRKAR2B","KIF5B"
"PRKAR2B","AKAP13"
"PRKAR2B","NBEA"
"PRKAR2B","PDE4DIP"
"PRKAR2B","PRKX"
"PRKAR2B","CSNK1E"
"MPO","HSPA5"
"MPO","CP"
"MPO","ACTB"
"MPO","CTSG"
"MPO","STS"
"MPO","ASAH1"
"MPO","ATP6V1A"
"MPO","ARL8B"
"MPO","SCARB2"
"MPO","ATP6V1B2"
"MPO","APCDD1"
"MPO","ATP6V0D1"
"MPO","ALPP"
"MPO","RAD21"
"MPO","SLC25A6"
"MPO","GUSB"
"MPO","GLB1"
"MPO","AZU1"
"MPO","A2M"
"MPO","GBA"
"MPO","APOD"
"MPO","MAOA"
"MPO","PRTN3"
"GCFC2","FYN"
"GCFC2","TFIP11"
"GCFC2","PRPF19"
"GCFC2","SLF2"
"GCFC2","CDK8"
"GCFC2","SYNCRIP"
"GCFC2","MYC"
"GCFC2","CRK"
"WDR54","GYG2"
"WDR54","BCL7A"
"WDR54","OSCP1"
"WDR54","DOK3"
"WDR54","USP16"
"WDR54","RBPMS"
"WDR54","FLYWCH2"
"WDR54","GMEB1"
"WDR54","TKT"
"WDR54","CLEC3A"
"WDR54","STAC3"
"CROT","JARID2"
"CROT","PRSS3"
"CROT","AGA"
"CROT","AP1M1"
"CROT","ITGB5"
"CROT","CDC45"
"CROT","GRAP2"
"CROT","DICER1"
"CROT","CST3"
"CROT","TSC22D1"
"CROT","IGDCC4"
"CROT","SLC1A5"
"CROT","BBC3"
"CROT","SETX"
"CROT","APOC3"
"CROT","FN1"
"CROT","RLF"
"CROT","APOA1"
"CROT","TTR"
"CROT","OBSL1"
"CROT","TTPAL"
"CROT","NCOA3"
"CROT","DSTN"
"CROT","APOE"
"CROT","APOC1"
"CROT","SH3BP5"
"CROT","AMPD3"
"CROT","CABLES1"
"CROT","CTSL"
"CROT","CD36"
"CROT","DERL1"
"CROT","CLCA2"
"CROT","AHSG"
"CROT","GSN"
"CROT","SERPING1"
"CROT","ATM"
"CROT","SACS"
"CROT","RANBP2"
"CROT","USP25"
"CROT","KCNMA1"
"CROT","TIAM1"
"CROT","PCDH1"
"CROT","APOA2"
"CROT","ALB"
"CROT","PPBP"
"CROT","CDCP1"
"CROT","ITGA2"
"CROT","KRT1"
"CROT","ZNF232"
"CROT","KRT13"
"CROT","FGA"
"CROT","TLN2"
"CROT","ADGRG2"
"CROT","KIAA1551"
"CROT","PCED1B"
"CROT","F2"
"CROT","PDE4B"
"CROT","KRT6B"
"CROT","KRT5"
"CROT","KRT10"
"CROT","KRT14"
"CROT","ZNF292"
"CROT","CFD"
"CROT","MYL4"
"CROT","KRT6A"
"ABCB4","TESK1"
"ABCB4","HAX1"
"KMT2E","MTA3"
"KMT2E","ATP13A1"
"KMT2E","GATA3"
"KMT2E","MYB"
"KMT2E","EHMT2"
"RHBDD2","HSCB"
"RHBDD2","IFT27"
"RHBDD2","UBXN8"
"RHBDD2","TCTN3"
"RHBDD2","CHCHD4"
"RHBDD2","TMEM17"
"RHBDD2","TMEM216"
"SOX8","DLX5"
"SOX8","TCF12"
"SOX8","HHEX"
"SOX8","JAM2"
"SOX8","PIDD1"
"SOX8","JUN"
"SOX8","MMP1"
"SOX8","POU5F1"
"SOX8","OLIG2"
"ZNF195","CBX5"
"ZNF195","IL13RA2"
"ZNF195","TRIM28"
"ZNF195","THSD4"
"ZNF195","C6orf141"
"MYCBP2","MYLIP"
"MYCBP2","CRY1"
"MYCBP2","DEF6"
"MYCBP2","BAK1"
